Abbr,Description,FG family,Accessory SKU,Time on Compressor (min),Time on Generator (min),Time on PM (min),Notes
EBH,Engine Block Heater,,,45.0,30.0,0.0,
ECH,Engine Coolant Heater,,,45.0,30.0,0.0,
EFT,Extended Fuel Tank,,,0.0,90.0,0.0,
EH,Enclosure Heater,,,45.0,45.0,30.0,
FH,Fuel Filter Heater,,,75.0,60.0,0.0,
GH,Generator Heater,,,0.0,0.0,0.0,We have no idea what this is
LRH,Lower Radiator Heater,,,60.0,45.0,0.0,
OES,Oil Evacuation System,,,45.0,30.0,0.0,
PK,Parallel Kit,,,0.0,0.0,0.0,Not done in SC
RH,Ring Hitch,,,0.0,0.0,0.0,
RHK,Regulator Heater Kit / Reg. Heater,,,0.0,0.0,0.0,Default. Family-specific rows below override.
RHK,Regulator Heater Kit / Reg. Heater,PDS185EZ,,30.0,0.0,0.0,
RHK,Regulator Heater Kit / Reg. Heater,PDS375DP,,90.0,0.0,0.0,
SBC,Solar Battery Charger,,,0.0,30.0,0.0,
SL,Smart Load,,,0.0,0.0,0.0,Default. Family-specific rows below override.
SL,Smart Load,SDG25,,0.0,40.0,0.0,
SL,Smart Load,SDG45,,0.0,60.0,0.0,
SL,Smart Load,SDG65,,0.0,60.0,0.0,
SL,Smart Load,SDG125,,0.0,90.0,0.0,
SL,Smart Load,SDG150,,0.0,150.0,0.0,
SL,Smart Load,SDG220,,0.0,180.0,0.0,
SL,Smart Load,SDG400,,0.0,240.0,0.0,
STK,Spare Tire Kit,,,15.0,45.0,0.0,
CL,Cam Locks,,,0.0,30.0,0.0,
TCL,Triple Cam Locks,,,0.0,45.0,0.0,
Tel,Telematics,,,53.0,53.0,0.0,UR = 60 min for large units and gens; 45 for ES on all
VC,Vent Cover (EBOSS),,,0.0,0.0,0.0,Need times
CLNT,Coolant,,,10.0,10.0,0.0,
RJS,Rear Jack Stand,,,60.0,60.0,0.0,Very rarely used — requires drilling and mounting
ES Decal,Decal Kit (Equipment Share),,,20.0,20.0,0.0,
UR Decal,Decal Kit (United Rentals),,,20.0,20.0,0.0,
CCV,Crank Case Vent,,,90.0,60.0,0.0,****CT study
BHW,Battery Heater Wrap,,,20.0,20.0,0.0,
BC,Battery Charger,,,20.0,20.0,0.0,
BD,Battery Disconnect,,,15.0,15.0,0.0,
DCL,Dual Camlock,,,0.0,45.0,0.0,
DHR,Dual Hose Reel,,,180.0,0.0,0.0,
SHR,Single Hose Reel,,,150.0,0.0,0.0,
CSA,Canadian Unit Testing,,,0.0,0.0,0.0,
CDB,Canadian Distribution Box,,,0.0,15.0,0.0,
LF,Low Fuel Light,,,0.0,0.0,0.0,Default. Family-specific rows below override.
LF,Low Fuel Light,SDG13,,0.0,180.0,0.0,
LF,Low Fuel Light,SDG25,,0.0,180.0,0.0,
TB,600V Transformer Box,,,0.0,0.0,0.0,Default. Family-specific rows below override.
TB,600V Transformer Box,SDG13,,0.0,120.0,0.0,
HFF,Heated Fuel Filter,,,0.0,0.0,0.0,Used in cold-weather packages; needs verified time
TELTU700,None,None,None,None,None,None,None
